kingdom	phylum	class	order	family	genus
kingdom_Bacteria	phylum_Actinobacteria	class_Actinobacteria	order_Actinomycetales	family_Microbacteriaceae	genus_Microbacterium
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Sphingomonadales	family_Sphingomonadaceae	genus_Novosphingobium
kingdom_Bacteria	phylum_Actinobacteria	class_Actinobacteria	order_Actinomycetales	family_Promicromonosporaceae	genus_unknown
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Sphingomonadales	family_Sphingomonadaceae	genus_Sphingomonas
kingdom_Bacteria	phylum_Actinobacteria	class_Actinobacteria	order_Actinomycetales	family_Nocardiaceae	genus_Rhodococcus
kingdom_Bacteria	phylum_Actinobacteria	class_Actinobacteria	order_Actinomycetales	family_Microbacteriaceae	genus_Curtobacterium
kingdom_Bacteria	phylum_Firmicutes	class_Bacilli	order_Bacillales	family_Bacillaceae	genus_Bacillus
kingdom_Bacteria	phylum_Proteobacteria	class_Gammaproteobacteria	order_Pseudomonadales	family_Pseudomonadaceae	genus_Pseudomonas
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Sphingomonadales	family_Sphingomonadaceae	genus_Sphingobium
kingdom_Bacteria	phylum_Bacteroidetes	class_Sphingobacteriia	order_Sphingobacteriales	family_Sphingobacteriaceae	genus_Pedobacter
kingdom_Bacteria	phylum_Proteobacteria	class_Gammaproteobacteria	order_Enterobacteriales	family_Enterobacteriaceae	genus_unknown
kingdom_Bacteria	phylum_Proteobacteria	class_Gammaproteobacteria	order_Enterobacteriales	family_Enterobacteriaceae	genus_Rahnella
kingdom_Bacteria	phylum_Proteobacteria	class_Gammaproteobacteria	order_Enterobacteriales	family_Enterobacteriaceae	genus_Erwinia
kingdom_Bacteria	phylum_Proteobacteria	class_Betaproteobacteria	order_Burkholderiales	family_Oxalobacteraceae	genus_unknown
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Hyphomicrobiaceae	genus_unknown
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Rhizobiaceae	genus_Agrobacterium
kingdom_Bacteria	phylum_Actinobacteria	class_Actinobacteria	order_Actinomycetales	family_Micrococcaceae	genus_Arthrobacter
kingdom_Bacteria	phylum_Proteobacteria	class_Gammaproteobacteria	order_Xanthomonadales	family_Xanthomonadaceae	genus_Xanthomonas
kingdom_Bacteria	phylum_Firmicutes	class_Bacilli	order_Bacillales	family_Paenibacillaceae	genus_Paenibacillus
kingdom_Bacteria	phylum_Proteobacteria	class_Betaproteobacteria	order_Burkholderiales	family_Comamonadaceae	genus_Acidovorax
kingdom_Bacteria	phylum_Bacteroidetes	class_Flavobacteriia	order_Flavobacteriales	family_Flavobacteriaceae	genus_Flavobacterium
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Methylobacteriaceae	genus_Methylobacterium
kingdom_Bacteria	phylum_Proteobacteria	class_Gammaproteobacteria	order_Pseudomonadales	family_Moraxellaceae	genus_Acinetobacter
kingdom_Bacteria	phylum_Proteobacteria	class_Betaproteobacteria	order_Burkholderiales	family_Oxalobacteraceae	genus_Massilia
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Caulobacterales	family_Caulobacteraceae	genus_unknown
kingdom_Bacteria	phylum_Proteobacteria	class_Betaproteobacteria	order_Burkholderiales	family_Burkholderiaceae	genus_Burkholderia
kingdom_Bacteria	phylum_Bacteroidetes	class_Flavobacteriia	order_Flavobacteriales	family_Flavobacteriaceae	genus_unknown
kingdom_Bacteria	phylum_Firmicutes	class_Bacilli	order_Bacillales	family_Paenibacillaceae	genus_Brevibacillus
kingdom_Bacteria	phylum_Actinobacteria	class_Actinobacteria	order_Actinomycetales	family_Microbacteriaceae	genus_unknown
kingdom_Bacteria	phylum_Firmicutes	class_Bacilli	order_Bacillales	family_Exiguobacterium	genus_Exiguobacterium
kingdom_Bacteria	phylum_Bacteroidetes	class_Cytophagia	order_Cytophagales	family_Cytophagaceae	genus_Dyadobacter
kingdom_Bacteria	phylum_Bacteroidetes	class_Sphingobacteriia	order_Sphingobacteriales	family_Sphingobacteriaceae	genus_unknown
kingdom_Bacteria	phylum_Proteobacteria	class_Betaproteobacteria	order_Burkholderiales	family_Comamonadaceae	genus_unknown
kingdom_Bacteria	phylum_Actinobacteria	class_Actinobacteria	order_Actinomycetales	family_Nocardioidaceae	genus_Aeromicrobium
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Rhizobiaceae	genus_unknown
kingdom_Bacteria	phylum_Actinobacteria	class_Actinobacteria	order_Actinomycetales	family_Microbacteriaceae	genus_Agromyces
kingdom_Bacteria	phylum_Proteobacteria	class_Betaproteobacteria	order_Burkholderiales	family_Comamonadaceae	genus_Variovorax
kingdom_Bacteria	phylum_Actinobacteria	class_Actinobacteria	order_Actinomycetales	family_Nocardioidaceae	genus_Nocardioides
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Rhizobiaceae	genus_Rhizobium
kingdom_Bacteria	phylum_Actinobacteria	class_Actinobacteria	order_Actinomycetales	family_Nocardioidaceae	genus_unknown
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Aurantimonadaceae	genus_unknown
kingdom_Bacteria	phylum_Deinococcus-Thermus	class_Deinococci	order_Deinococcales	family_Deinococcaceae	genus_Deinococcus
kingdom_Bacteria	phylum_Actinobacteria	class_Actinobacteria	order_Actinomycetales	family_Cellulomonadaceae	genus_Cellulomonas
kingdom_Bacteria	phylum_Actinobacteria	class_Actinobacteria	order_Actinomycetales	family_Microbacteriaceae	genus_Leifsonia
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Sphingomonadales	family_Sphingomonadaceae	genus_unknown
kingdom_Bacteria	phylum_Actinobacteria	class_Actinobacteria	order_Actinomycetales	family_Gordoniaceae	genus_Gordonia
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Caulobacterales	family_Caulobacteraceae	genus_Brevundimonas
kingdom_Bacteria	phylum_Actinobacteria	class_Actinobacteria	order_Actinomycetales	family_Geodermatophilaceae	genus_unknown
kingdom_Bacteria	phylum_Bacteroidetes	class_Flavobacteriia	order_Flavobacteriales	family_Flavobacteriaceae	genus_Chryseobacterium
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Bradyrhizobiaceae	genus_Bradyrhizobium
kingdom_Bacteria	phylum_Proteobacteria	class_Betaproteobacteria	order_Methylophilales	family_Methylophilaceae	genus_unknown
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Rhizobiaceae	genus_Sinorhizobium
kingdom_Bacteria	phylum_Actinobacteria	class_Actinobacteria	order_Actinomycetales	family_Streptomycetaceae	genus_Streptomyces
kingdom_Bacteria	phylum_Proteobacteria	class_Gammaproteobacteria	order_Xanthomonadales	family_Xanthomonadaceae	genus_Pseudoxanthomonas
kingdom_Bacteria	phylum_Proteobacteria	class_Gammaproteobacteria	order_Xanthomonadales	family_Xanthomonadaceae	genus_unknown
kingdom_Bacteria	phylum_Proteobacteria	class_Betaproteobacteria	order_Burkholderiales	family_Alcaligenaceae	genus_Achromobacter
kingdom_Bacteria	phylum_Actinobacteria	class_Actinobacteria	order_Actinomycetales	family_Intrasporangiaceae	genus_unknown
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Phyllobacteriaceae	genus_unknown
kingdom_Bacteria	phylum_Actinobacteria	class_Actinobacteria	order_Actinomycetales	family_Intrasporangiaceae	genus_Janibacter
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Phyllobacteriaceae	genus_Mesorhizobium
kingdom_Bacteria	phylum_Actinobacteria	class_Actinobacteria	order_Actinomycetales	family_Streptomycetaceae	genus_unknown
kingdom_Bacteria	phylum_Actinobacteria	class_Actinobacteria	order_Actinomycetales	family_Mycobacteriaceae	genus_Mycobacterium
kingdom_Bacteria	phylum_Actinobacteria	class_Actinobacteria	order_Actinomycetales	family_Nocardiaceae	genus_Nocardia
kingdom_Bacteria	phylum_Firmicutes	class_Bacilli	order_Bacillales	family_Bacillaceae	genus_unknown
kingdom_Bacteria	phylum_Proteobacteria	class_Gammaproteobacteria	order_Xanthomonadales	family_Xanthomonadaceae	genus_Rhodanobacter
kingdom_Bacteria	phylum_Proteobacteria	class_Betaproteobacteria	order_Burkholderiales	family_Oxalobacteraceae	genus_Herbaspirillum
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Sphingomonadales	family_Sphingomonadaceae	genus_Sphingopyxis
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Caulobacterales	family_Caulobacteraceae	genus_Caulobacter
kingdom_Bacteria	phylum_Proteobacteria	class_Betaproteobacteria	order_Burkholderiales	family_Oxalobacteraceae	genus_Janthinobacterium
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Bradyrhizobiaceae	genus_Bosea
kingdom_Bacteria	phylum_Actinobacteria	class_Actinobacteria	order_Actinomycetales	family_Cellulomonadaceae	genus_unknown
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Bradyrhizobiaceae	genus_unknown
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Bradyrhizobiaceae	genus_Afipia
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Rhizobiaceae	genus_Shinella
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Hyphomicrobiaceae	genus_Devosia
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Phyllobacteriaceae	genus_Aminobacter
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Rhizobiaceae	genus_Ensifer
kingdom_Bacteria	phylum_Actinobacteria	class_Actinobacteria	order_Actinomycetales	family_Micrococcaceae	genus_Pseudarthrobacter
kingdom_Bacteria	phylum_Proteobacteria	class_Gammaproteobacteria	order_Xanthomonadales	family_Xanthomonadaceae	genus_Dyella
kingdom_Bacteria	phylum_Proteobacteria	class_Betaproteobacteria	order_Burkholderiales	family_Comamonadaceae	genus_Pseudorhodoferax
kingdom_Bacteria	phylum_Proteobacteria	class_Betaproteobacteria	order_Burkholderiales	family_Burkholderiaceae	genus_Rhizobacter
kingdom_Bacteria	phylum_Proteobacteria	class_Betaproteobacteria	order_Burkholderiales	family_Oxalobacteraceae	genus_Pseudoduganella
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Caulobacterales	family_Caulobacteraceae	genus_Phenylobacterium
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Rhizobiaceae	genus_Neorhizobium
kingdom_unknown	phylum_unknown	class_unknown	order_unknown	family_unknown	genus_unknown
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Burkholderiales	family_Comamonadaceae	genus_Acidovorax
kingdom_Bacteria	phylum_Proteobacteria	class_Betaproteobacteria	order_Burkholderiales	family_Comamonadaceae	genus_Polaromonas
kingdom_Bacteria	phylum_Proteobacteria	class_Betaproteobacteria	order_Burkholderiales	family_Oxalobacteraceae	genus_Duganella
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Phyllobacteriaceae	genus_Phyllobacterium
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Caulobacterales	family_Caulobacteraceae	genus_Asticcacaulis
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Bradyrhizobiaceae	genus_Nitrobacter
kingdom_Bacteria	phylum_Proteobacteria	class_Betaproteobacteria	order_Burkholderiales	family_Oxalobacteraceae	genus_Noviherbaspirillum
kingdom_Bacteria	phylum_Proteobacteria	class_Betaproteobacteria	order_Burkholderiales	family_Burkholderiaceae	genus_Cupriavidus
kingdom_Bacteria	phylum_Proteobacteria	class_Gammaproteobacteria	order_Xanthomonadales	family_Xanthomonadaceae	genus_Lysobacter
kingdom_Bacteria	phylum_Proteobacteria	class_Gammaproteobacteria	order_Burkholderiales	family_Burkholderiaceae	genus_Cupriavidus
kingdom_Bacteria	phylum_Proteobacteria	class_Gammaproteobacteria	order_Xanthomonadales	family_Xanthomonadaceae	genus_Stenotrophomonas
kingdom_Bacteria	phylum_Proteobacteria	class_Gammaproteobacteria	order_Aeromonadales	family_Aeromonadaceae	genus_Aeromonas
kingdom_Bacteria	phylum_Actinobacteriota	class_Actinobacteria	order_Actinomycetales	family_Micrococcaceae	genus_Micrococcus
kingdom_Bacteria	phylum_Actinobacteriota	class_Actinobacteria	order_Actinomycetales	family_Microbacteriaceae	genus_Microbacterium
kingdom_Bacteria	phylum_Bacteroidota	class_Bacteroidia	order_Flavobacteriales	family_Weeksellaceae	genus_Chryseobacterium
kingdom_Bacteria	phylum_Proteobacteria	class_Gammaproteobacteria	order_Burkholderiales	family_Burkholderiaceae	genus_Variovorax
kingdom_Bacteria	phylum_Proteobacteria	class_unknown	order_unknown	family_unknown	genus_unknown
kingdom_Bacteria	phylum_Actinobacteria	class_Actinobacteria	order_Actinomycetales	family_Micrococcaceae	genus_Micrococcus
kingdom_Bacteria	phylum_Firmicutes	class_Bacilli	order_Bacillales	family_Bacillaceae	genus_Falsibacillus
kingdom_medium	phylum_background	class_background	order_background	family_background	genus_background
kingdom_blank	phylum_background	class_blackground	order_background	family_background	genus_background
